Splitting dataset into train/validation...
Train: 12418, Val: 1380
{'loss': 0.1085, 'grad_norm': 0.3345840275287628, 'learning_rate': 0.0001665593474994634, 'epoch': 0.5}
{'loss': 0.1173, 'grad_norm': 0.25312405824661255, 'learning_rate': 0.00016613007083065036, 'epoch': 0.51}
{'loss': 0.1186, 'grad_norm': 0.42533379793167114, 'learning_rate': 0.0001657007941618373, 'epoch': 0.52}
{'eval_loss': 0.10985434800386429, 'eval_runtime': 140.7291, 'eval_samples_per_second': 9.806, 'eval_steps_per_second': 4.903, 'epoch': 0.52}
{'loss': 0.0976, 'grad_norm': 0.28918009996414185, 'learning_rate': 0.00016527151749302425, 'epoch': 0.52}
{'loss': 0.1159, 'grad_norm': 0.4437839686870575, 'learning_rate': 0.0001648422408242112, 'epoch': 0.53}
{'loss': 0.1349, 'grad_norm': 0.28247928619384766, 'learning_rate': 0.00016441296415539816, 'epoch': 0.53}
{'loss': 0.1117, 'grad_norm': 0.21478472650051117, 'learning_rate': 0.0001639836874865851, 'epoch': 0.54}
{'loss': 0.1368, 'grad_norm': 0.2745645344257355, 'learning_rate': 0.00016355441081777205, 'epoch': 0.55}
{'loss': 0.1033, 'grad_norm': 0.5065013766288757, 'learning_rate': 0.000163125134148959, 'epoch': 0.55}
{'loss': 0.0978, 'grad_norm': 0.2785232365131378, 'learning_rate': 0.00016269585748014594, 'epoch': 0.56}
{'loss': 0.1015, 'grad_norm': 0.27615487575531006, 'learning_rate': 0.00016226658081133292, 'epoch': 0.57}
{'loss': 0.1221, 'grad_norm': 0.29669564962387085, 'learning_rate': 0.00016183730414251986, 'epoch': 0.57}
{'loss': 0.1111, 'grad_norm': 0.3400688171386719, 'learning_rate': 0.0001614080274737068, 'epoch': 0.58}
{'eval_loss': 0.10830186307430267, 'eval_runtime': 140.9382, 'eval_samples_per_second': 9.792, 'eval_steps_per_second': 4.896, 'epoch': 0.58}
{'loss': 0.1062, 'grad_norm': 0.3418962061405182, 'learning_rate': 0.00016097875080489375, 'epoch': 0.59}
{'loss': 0.1377, 'grad_norm': 0.27926164865493774, 'learning_rate': 0.0001605494741360807, 'epoch': 0.59}
{'loss': 0.0795, 'grad_norm': 0.33973729610443115, 'learning_rate': 0.00016012019746726764, 'epoch': 0.6}
{'loss': 0.095, 'grad_norm': 0.3476358652114868, 'learning_rate': 0.0001596909207984546, 'epoch': 0.61}
{'loss': 0.0919, 'grad_norm': 0.3742162585258484, 'learning_rate': 0.00015926164412964156, 'epoch': 0.61}
