Splitting dataset into train/validation...
Train: 12418, Val: 1380
Tokenizing datasets...
{'loss': 0.0137, 'grad_norm': 2.102147340774536, 'learning_rate': 9.643781200626511e-05, 'epoch': 0.48}
{'loss': 0.0247, 'grad_norm': 3.080660581588745, 'learning_rate': 9.630607516288984e-05, 'epoch': 0.48}
{'loss': 0.0173, 'grad_norm': 0.018966440111398697, 'learning_rate': 9.617203973235366e-05, 'epoch': 0.49}
{'loss': 0.0319, 'grad_norm': 0.5739853382110596, 'learning_rate': 9.603571236804103e-05, 'epoch': 0.5}
{'loss': 0.01, 'grad_norm': 0.2936481833457947, 'learning_rate': 9.589709983710566e-05, 'epoch': 0.5}
{'loss': 0.0299, 'grad_norm': 2.7370200157165527, 'learning_rate': 9.575620902013468e-05, 'epoch': 0.51}
{'loss': 0.0121, 'grad_norm': 1.940372347831726, 'learning_rate': 9.561304691080702e-05, 'epoch': 0.52}
{'eval_loss': 0.023103544488549232, 'eval_runtime': 121.0583, 'eval_samples_per_second': 11.399, 'eval_steps_per_second': 5.7, 'epoch': 0.52}
{'loss': 0.0169, 'grad_norm': 1.0697057247161865, 'learning_rate': 9.546762061554631e-05, 'epoch': 0.52}
{'loss': 0.0112, 'grad_norm': 0.013806873001158237, 'learning_rate': 9.531993735316811e-05, 'epoch': 0.53}
{'loss': 0.017, 'grad_norm': 0.03097059577703476, 'learning_rate': 9.517000445452151e-05, 'epoch': 0.53}
{'loss': 0.0274, 'grad_norm': 0.11633475869894028, 'learning_rate': 9.501782936212536e-05, 'epoch': 0.54}
{'loss': 0.0447, 'grad_norm': 0.09394204616546631, 'learning_rate': 9.486341962979873e-05, 'epoch': 0.55}
{'loss': 0.0096, 'grad_norm': 0.030660901218652725, 'learning_rate': 9.470678292228596e-05, 'epoch': 0.55}
{'loss': 0.0191, 'grad_norm': 2.852243661880493, 'learning_rate': 9.454792701487623e-05, 'epoch': 0.56}
{'loss': 0.0274, 'grad_norm': 0.5002040266990662, 'learning_rate': 9.438685979301757e-05, 'epoch': 0.57}
{'loss': 0.0179, 'grad_norm': 0.022714003920555115, 'learning_rate': 9.422358925192545e-05, 'epoch': 0.57}
{'loss': 0.0749, 'grad_norm': 0.5735424757003784, 'learning_rate': 9.405812349618588e-05, 'epoch': 0.58}
{'eval_loss': 0.0202316977083683, 'eval_runtime': 119.7721, 'eval_samples_per_second': 11.522, 'eval_steps_per_second': 5.761, 'epoch': 0.58}
{'loss': 0.0073, 'grad_norm': 0.035591330379247665, 'learning_rate': 9.389047073935313e-05, 'epoch': 0.59}
{'loss': 0.0213, 'grad_norm': 0.2985059320926666, 'learning_rate': 9.372063930354205e-05, 'epoch': 0.59}
{'loss': 0.0286, 'grad_norm': 0.03587697446346283, 'learning_rate': 9.354863761901487e-05, 'epoch': 0.6}
{'loss': 0.0042, 'grad_norm': 0.03640277683734894, 'learning_rate': 9.337447422376284e-05, 'epoch': 0.61}
{'loss': 0.0188, 'grad_norm': 3.368818759918213, 'learning_rate': 9.319815776308234e-05, 'epoch': 0.61}
{'loss': 0.0257, 'grad_norm': 0.07431212812662125, 'learning_rate': 9.301969698914577e-05, 'epoch': 0.62}
{'loss': 0.0086, 'grad_norm': 0.031874656677246094, 'learning_rate': 9.283910076056708e-05, 'epoch': 0.62}
{'loss': 0.003, 'grad_norm': 0.1979818195104599, 'learning_rate': 9.265637804196205e-05, 'epoch': 0.63}
{'loss': 0.049, 'grad_norm': 0.07007212936878204, 'learning_rate': 9.24715379035033e-05, 'epoch': 0.64}
{'loss': 0.0219, 'grad_norm': 1.113777756690979, 'learning_rate': 9.228458952047005e-05, 'epoch': 0.64}
{'eval_loss': 0.015034912154078484, 'eval_runtime': 116.6663, 'eval_samples_per_second': 11.829, 'eval_steps_per_second': 5.914, 'epoch': 0.64}
{'loss': 0.0162, 'grad_norm': 3.0591468811035156, 'learning_rate': 9.209554217279268e-05, 'epoch': 0.65}
{'loss': 0.0053, 'grad_norm': 0.018019283190369606, 'learning_rate': 9.190440524459203e-05, 'epoch': 0.66}
{'loss': 0.0227, 'grad_norm': 0.3096991777420044, 'learning_rate': 9.171118822371368e-05, 'epoch': 0.66}
{'loss': 0.0186, 'grad_norm': 2.7769439220428467, 'learning_rate': 9.151590070125684e-05, 'epoch': 0.67}
{'loss': 0.0084, 'grad_norm': 0.11001931875944138, 'learning_rate': 9.131855237109848e-05, 'epoch': 0.68}
{'loss': 0.0237, 'grad_norm': 0.011722245253622532, 'learning_rate': 9.111915302941183e-05, 'epoch': 0.68}
{'loss': 0.0046, 'grad_norm': 1.2529703378677368, 'learning_rate': 9.091771257418043e-05, 'epoch': 0.69}
{'loss': 0.0455, 'grad_norm': 0.0026019164361059666, 'learning_rate': 9.071424100470656e-05, 'epoch': 0.7}
{'loss': 0.0058, 'grad_norm': 0.033974841237068176, 'learning_rate': 9.050874842111498e-05, 'epoch': 0.7}
{'loss': 0.0162, 'grad_norm': 0.03682868555188179, 'learning_rate': 9.030124502385162e-05, 'epoch': 0.71}
{'eval_loss': 0.01517787016928196, 'eval_runtime': 116.8286, 'eval_samples_per_second': 11.812, 'eval_steps_per_second': 5.906, 'epoch': 0.71}
{'loss': 0.0101, 'grad_norm': 1.3358280658721924, 'learning_rate': 9.009174111317714e-05, 'epoch': 0.72}
{'loss': 0.0132, 'grad_norm': 0.03794939070940018, 'learning_rate': 8.988024708865566e-05, 'epoch': 0.72}
{'loss': 0.0115, 'grad_norm': 0.03429723531007767, 'learning_rate': 8.966677344863862e-05, 'epoch': 0.73}
{'loss': 0.0248, 'grad_norm': 0.004322709981352091, 'learning_rate': 8.945133078974357e-05, 'epoch': 0.73}
{'loss': 0.022, 'grad_norm': 0.10959362983703613, 'learning_rate': 8.923392980632814e-05, 'epoch': 0.74}
{'loss': 0.0192, 'grad_norm': 2.3420960903167725, 'learning_rate': 8.901458128995927e-05, 'epoch': 0.75}
{'loss': 0.023, 'grad_norm': 0.0221417173743248, 'learning_rate': 8.879329612887746e-05, 'epoch': 0.75}
{'loss': 0.0531, 'grad_norm': 0.8434329032897949, 'learning_rate': 8.857008530745633e-05, 'epoch': 0.76}
{'loss': 0.0215, 'grad_norm': 1.002239465713501, 'learning_rate': 8.834495990565734e-05, 'epoch': 0.77}
{'loss': 0.0384, 'grad_norm': 0.08061917871236801, 'learning_rate': 8.811793109847982e-05, 'epoch': 0.77}
